"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8057298,0.0137972,0.777254,0.8313552,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8167701,0.0061104,0.804489,0.8284443,"     ","       "
"S sB g1 c118 a0 o1 t118",1,0,1,1,"     ","       "
"S sB g1 c118 a115 o116 t233",1,0,1,1,"     ","       "
"S sC g1 c118 a0 o1 t118",0.8885418,0.0083751,0.8710395,0.9039307,"     ","       "
"S sC g1 c118 a115 o116 t233",0.8954864,0.0052882,0.8846584,0.9054066,"     ","       "
"p sA g1 c118 a1 o1 t119",0.30482,0.0223975,0.2627713,0.3503992,"     ","       "
"p sA g1 c118 a115 o115 t233",0.2505056,0.0062455,0.2384646,0.2629446,"     ","       "
"p sB g1 c118 a1 o1 t119",0.6649228,0.0269314,0.6102567,0.715496,"     ","       "
"p sB g1 c118 a115 o115 t233",0.6020088,0.0236752,0.5548206,0.6473741,"     ","       "
"p sC g1 c118 a1 o1 t119",0.003159,0.0004911909,0.0023288,0.0042839,"     ","       "
"p sC g1 c118 a115 o115 t233",0.0024098,0.0003204552,0.0018567,0.0031271,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0094533,0.0015535,0.0068471,0.0130384,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0072375,0.0010373,0.0054636,0.0095817,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0478739,0.0097925,0.0319473,0.0711567,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0369888,0.0067727,0.0257781,0.0528105,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0251446,0.0036322,0.0189266,0.0333359,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0193226,0.0026072,0.014823,0.0251531,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.530864,0.0206275,0.49032,0.5710046,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.4636367,0.0146158,0.4351406,0.4923723,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0053403,0.0009667703,0.003744,0.007612,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0040846,0.0006875201,0.0029362,0.0056796,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.029828,0.0029406,0.0245738,0.0361638,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0229471,0.0019069,0.0194923,0.0269973,"     ","       "
