"","captures","censored","tags"
"1","AAAA0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","111129d"
"2","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","1000848"
"3","00B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","1000906"
"4","00000000000000B0B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","6013188d"
"5","00000000000000BB0B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","6011191d"
"6","00000000000000BB0000000BBB0000000000B00A0000000000000000000000000000000000000000000000000000000000000000000000","1","6012194d"
"7","00000000000000C0BB0B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","6014198d"
"8","000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","6101206d"
"9","000000000000000AAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","6102209d"
"10","00000000000000000B00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1","1002666"
"11","00000000000000000000000BB000000000000000000000000000B000000000000000000000000000000000000000000000000000000000","1","6113241d"
"12","00000000000000000000000B00B0000000000000000000000000AA00000000000000000000000000000000000000000000000000000000","1","6112239d"
"13","0000000000000000000000000B00000000000000000000000000B000000000000000000000000000000000000000000000000000000000","1","7000244d"
"14","00000000000000000000000000BCCC0000000000000000000000BBB0000000000000000000000000000000000000000000000000000000","1","7001247d"
"15","00000000000000000000000000BB000000000000000000000000A000000000000000000000000000000000000000000000000000000000","1","7002250d"
"16","00000000000000000000000000B0000000000000000000000000B000000000000000000000000000000000000000000000000000000000","1","7004106d"
"17","000000000000000000000000000CA00000000000000000000000B000000000000000000000000000000000000000000000000000000000","1","7013101d"
"18","0000000000000000000000000000A0000000AA0A0000000000000000000000000000000000000000000000000000000000000000000000","1","7014"
"19","0000000000000000000000000000B000000000000000000000000B00000000000000000000000000000000000000000000000000000000","1","7101259d"
"20","0000000000000000000000000000B0000000B000000000000000B000000000000000000000000000000000000000000000000000000000","1","7102261d"
"21","00000000000000000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000000000","1","7104263d"
"22","00000000000000000000000000000B000000B0B00000000000000A00000000000000000000000000000000000000000000000000000000","1","7103265d"
"23","00000000000000000000000000000000C00000000000000000000000000000000000000000000000000000000000000000000000000000","1","7110"
"24","00000000000000000000000000000000000A00000000000000000000000000000000000000000000000000000000000000000000000000","1","1373"
"25","000000000000000000000000000000000000A0000000000000000000000000000000000000000000000000000000000000000000000000","1","7112"
"26","000000000000000000000000000000000000C0000000000000000000000000000000000000000000000000000000000000000000000000","1","7114"
"27","0000000000000000000000000000000000000A000000000000000000000000000000000000000000000000000000000000000000000000","1","8000"
"28","0000000000000000000000000000000000000B000000000000000000000000000000000000000000000000000000000000000000000000","1","1004626"
